seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1655747	1655857	111	*	X00040	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X00040	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
chr1	1655889	1655926	38	*	X00041	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X00041	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1656077	1656135	59	*	X00042	728642	1634170	1655791	21622	-	285	upstream	285	CDK11A
chr1	1656077	1656135	59	*	X00042	984	1571100	1655775	84676	-	301	upstream	301	CDK11B
chr1	1677415	1677987	573	*	X00043	728661	1590988	1677438	86451	-	0	overlapStart	0	SLC35E2B
chr1	1677415	1677987	573	*	X00043	9906	1656277	1677438	21162	-	0	overlapStart	0	SLC35E2A
chr1	1822456	1822752	297	*	X00045	2782	1716725	1822526	105802	-	0	overlapStart	0	GNB1
chr1	1850720	1850781	62	*	X00046	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1851071	1851079	9	*	X00047	339456	1849029	1850740	1712	-	330	upstream	330	TMEM52
chr1	1982176	1982190	15	*	X00049	5590	1981909	2116834	134926	+	0	inside	266	PRKCZ
chr1	2139342	2139413	72	*	X00052	199990	2115899	2139172	23274	-	169	upstream	169	FAAP20
chr1	2457634	2457750	117	*	X00053	55229	2439975	2458035	18061	-	0	inside	284	PANK4
chr1	3712899	3712929	31	*	X00058	57470	3696784	3713068	16285	-	0	inside	138	LRRC47
chr1	3712990	3713250	261	*	X00059	57470	3696784	3713068	16285	-	0	overlapStart	0	LRRC47
chr1	3773670	3773723	54	*	X00060	1677	3773845	3801993	28149	+	121	upstream	121	DFFB
chr1	3773670	3773723	54	*	X00060	9731	3728645	3773797	45153	-	0	inside	73	CEP104
chr1	3816677	3816812	136	*	X00061	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X00061	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
chr1	3817362	3817396	35	*	X00062	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X00063	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6052991	6053012	22	*	X00064	261734	5922870	6052533	129664	-	457	upstream	457	NPHP4
chr1	6259485	6259930	446	*	X00065	6146	6245080	6259679	14600	-	0	overlapStart	0	RPL22
chr1	6259956	6259973	18	*	X00066	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X00067	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6295821	6295857	37	*	X00068	23463	6281253	6296044	14792	-	0	inside	186	ICMT
chr1	6295872	6295888	17	*	X00069	23463	6281253	6296044	14792	-	0	inside	155	ICMT
chr1	6295903	6295914	12	*	X00070	23463	6281253	6296044	14792	-	0	inside	129	ICMT
chr1	6296018	6296043	26	*	X00071	23463	6281253	6296044	14792	-	0	inside	0	ICMT
chr1	6321265	6321286	22	*	X00072	387509	6307406	6321035	13630	-	229	upstream	229	GPR153
chr1	6614429	6614659	231	*	X00076	79707	6581407	6614658	33252	-	0	overlapStart	0	NOL9
chr1	6614429	6614659	231	*	X00076	80835	6615338	6639817	24480	+	678	upstream	678	TAS1R1
chr1	6662477	6662922	446	*	X00081	9903	6650779	6662929	12151	-	0	inside	6	KLHL21
chr1	6663015	6663030	16	*	X00082	9903	6650779	6662929	12151	-	85	upstream	85	KLHL21
chr1	6673540	6673597	58	*	X00083	148479	6673756	6684093	10338	+	158	upstream	158	PHF13
chr1	6673982	6674025	44	*	X00084	148479	6673756	6684093	10338	+	0	inside	225	PHF13
chr1	6674044	6674056	13	*	X00085	148479	6673756	6684093	10338	+	0	inside	287	PHF13
chr1	6761672	6761718	47	*	X00087	55735	6694228	6761966	67739	-	0	inside	247	DNAJC11
chr1	6761730	6762159	430	*	X00088	55735	6694228	6761966	67739	-	0	overlapStart	0	DNAJC11
chr1	7844231	7844256	26	*	X00091	8863	7844380	7905237	60858	+	123	upstream	123	PER3
chr1	7844337	7844389	53	*	X00092	8863	7844380	7905237	60858	+	0	overlapStart	0	PER3
chr1	7844419	7844529	111	*	X00093	8863	7844380	7905237	60858	+	0	inside	38	PER3
chr1	8021376	8021386	11	*	X00094	11315	8021714	8045342	23629	+	327	upstream	327	PARK7
chr1	8021413	8022092	680	*	X00095	11315	8021714	8045342	23629	+	0	overlapStart	0	PARK7
chr1	8877604	8877778	175	*	X00101	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	8938312	8938439	128	*	X00102	100505975	8938894	8939943	1050	+	454	upstream	454	ENO1-AS1
chr1	8938567	8938648	82	*	X00103	100505975	8938894	8939943	1050	+	245	upstream	245	ENO1-AS1
chr1	8938735	8938766	32	*	X00104	100505975	8938894	8939943	1050	+	127	upstream	127	ENO1-AS1
chr1	9294882	9295120	239	*	X00106	9563	9294863	9331394	36532	+	0	inside	18	H6PD
chr1	9599605	9599708	104	*	X00108	84275	9599528	9642831	43304	+	0	inside	76	SLC25A33
chr1	9649090	9649128	39	*	X00109	199953	9648932	9674935	26004	+	0	inside	157	TMEM201
chr1	9884604	9884701	98	*	X00115	22883	9789079	9884550	95472	-	53	upstream	53	CLSTN1
chr1	9970169	9970343	175	*	X00116	56998	9908334	9970316	61983	-	0	overlapStart	0	CTNNBIP1
chr1	10003197	10003673	477	*	X00117	64802	10003486	10045556	42071	+	0	overlapStart	0	NMNAT1
chr1	10003197	10003673	477	*	X00117	84328	9989776	10003427	13652	-	0	overlapStart	0	LZIC
chr1	10458717	10458928	212	*	X00118	5226	10459085	10480201	21117	+	156	upstream	156	PGD
chr1	10459120	10459216	97	*	X00119	5226	10459085	10480201	21117	+	0	inside	34	PGD
chr1	10490364	10490724	361	*	X00120	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490724	361	*	X00120	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10532482	10532499	18	*	X00122	1676	10520603	10532613	12011	-	0	inside	113	DFFA
chr1	10532513	10532523	11	*	X00123	1676	10520603	10532613	12011	-	0	inside	89	DFFA
chr1	10534885	10535117	233	*	X00124	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10535134	10535153	20	*	X00125	5195	10535003	10690815	155813	+	0	inside	130	PEX14
chr1	10856556	10856731	176	*	X00127	54897	10696666	10856733	160068	-	0	inside	1	CASZ1
chr1	10856797	10856976	180	*	X00128	54897	10696666	10856733	160068	-	63	upstream	63	CASZ1
chr1	11072454	11072512	59	*	X00129	23435	11072679	11085549	12871	+	166	upstream	166	TARDBP
chr1	11072615	11072842	228	*	X00130	23435	11072679	11085549	12871	+	0	overlapStart	0	TARDBP
chr1	11159788	11159969	182	*	X00131	5394	11126676	11159938	33263	-	0	overlapStart	0	EXOSC10
chr1	11322859	11323036	178	*	X00132	2475	11166588	11322608	156021	-	250	upstream	250	MTOR
chr1	11333250	11333517	268	*	X00133	29914	11333255	11348491	15237	+	0	overlapStart	0	UBIAD1
chr1	11538883	11538917	35	*	X00135	57540	11539295	11597640	58346	+	377	upstream	377	DISP3
chr1	11539077	11539309	233	*	X00136	57540	11539295	11597640	58346	+	0	overlapStart	0	DISP3
chr1	11994780	11994815	36	*	X00141	5351	11994724	12035599	40876	+	0	inside	55	PLOD1
chr1	12289984	12290192	209	*	X00142	55187	12290113	12572098	281986	+	0	overlapStart	0	VPS13D
chr1	15573532	15573542	11	*	X00144	114827	15573768	15726778	153011	+	225	upstream	225	FHAD1
chr1	15573603	15573635	33	*	X00145	114827	15573768	15726778	153011	+	132	upstream	132	FHAD1
chr1	15853084	15853521	438	*	X00147	23341	15853352	15918874	65523	+	0	overlapStart	0	DNAJC16
chr1	15853084	15853521	438	*	X00147	842	15817324	15851285	33962	-	1798	upstream	1798	CASP9
chr1	16174024	16174288	265	*	X00149	23013	16174359	16266950	92592	+	70	upstream	70	SPEN
chr1	16174333	16174368	36	*	X00150	23013	16174359	16266950	92592	+	0	overlapStart	0	SPEN
chr1	16174333	16174368	36	*	X00150	729614	16160710	16174642	13933	-	0	inside	273	FLJ37453
chr1	16302408	16302643	236	*	X00151	7709	16268364	16302627	34264	-	0	overlapStart	0	ZBTB17
chr1	16482469	16482508	40	*	X00152	1969	16450832	16482582	31751	-	0	inside	73	EPHA2
chr1	16678604	16679185	582	*	X00153	54455	16576559	16678948	102390	-	0	overlapStart	0	FBXO42
chr1	16693485	16693552	68	*	X00154	26099	16693525	16724643	31119	+	0	overlapStart	0	SZRD1
chr1	16693791	16693810	20	*	X00155	26099	16693525	16724643	31119	+	0	inside	265	SZRD1
chr1	16767052	16767300	249	*	X00156	55707	16767167	16786584	19418	+	0	overlapStart	0	NECAP2
chr1	16767333	16767374	42	*	X00157	55707	16767167	16786584	19418	+	0	inside	165	NECAP2
chr1	16939773	16940386	614	*	X00167	55672	16888922	16940100	51179	-	0	overlapStart	0	NBPF1
chr1	16970939	16971495	557	*	X00168	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16970939	16971495	557	*	X00168	84809	16944751	16971178	26428	-	0	overlapStart	0	CROCCP2
chr1	17380540	17380612	73	*	X00181	6390	17345225	17380665	35441	-	0	inside	52	SDHB
chr1	17380721	17380738	18	*	X00182	6390	17345225	17380665	35441	-	55	upstream	55	SDHB
chr1	19577982	19578361	380	*	X00188	23065	19542158	19578053	35896	-	0	overlapStart	0	EMC1
chr1	19577982	19578361	380	*	X00188	51154	19578075	19586622	8548	+	0	overlapStart	0	MRTO4
chr1	19638501	19638521	21	*	X00189	54896	19638740	19658922	20183	+	218	upstream	218	SLC66A1
chr1	19638501	19638521	21	*	X00189	8574	19629202	19638640	9439	-	0	inside	118	AKR7A2
chr1	19638536	19638588	53	*	X00190	54896	19638740	19658922	20183	+	151	upstream	151	SLC66A1
chr1	19638536	19638588	53	*	X00190	8574	19629202	19638640	9439	-	0	inside	51	AKR7A2
chr1	21672461	21672548	88	*	X00200	1889	21543740	21672034	128295	-	426	upstream	426	ECE1
chr1	22109512	22109666	155	*	X00201	84196	22004792	22109688	104897	-	0	inside	21	USP48
chr1	22109688	22109726	39	*	X00202	84196	22004792	22109688	104897	-	0	overlapStart	0	USP48
chr1	22379151	22379300	150	*	X00203	998	22379120	22419436	40317	+	0	inside	30	CDC42
chr1	22777967	22777982	16	*	X00204	9923	22778344	22857650	79307	+	361	upstream	361	ZBTB40
chr1	22778007	22778022	16	*	X00205	9923	22778344	22857650	79307	+	321	upstream	321	ZBTB40
chr1	22778042	22778086	45	*	X00206	9923	22778344	22857650	79307	+	257	upstream	257	ZBTB40
chr1	22778194	22778564	371	*	X00207	9923	22778344	22857650	79307	+	0	overlapStart	0	ZBTB40
chr1	23345762	23346118	357	*	X00208	23028	23345941	23410184	64244	+	0	overlapStart	0	KDM1A
chr1	23670690	23670774	85	*	X00209	10236	23636276	23670853	34578	-	0	inside	78	HNRNPR
chr1	23695395	23695491	97	*	X00210	148898	23695464	23698330	2867	+	0	overlapStart	0	ZNF436-AS1
chr1	24018188	24018431	244	*	X00214	6135	24018269	24022915	4647	+	0	overlapStart	0	RPL11
chr1	24069888	24070103	216	*	X00215	6924	24069856	24088549	18694	+	0	inside	31	ELOA
chr1	24104891	24105126	236	*	X00216	100506963	24086872	24104787	17916	-	103	upstream	103	ELOA-AS1
chr1	24104891	24105126	236	*	X00216	57095	24104876	24114722	9847	+	0	inside	14	PITHD1
chr1	24117592	24117607	16	*	X00217	11313	24117646	24122029	4384	+	38	upstream	38	LYPLA2
chr1	24127201	24127499	299	*	X00218	2582	24122089	24127294	5206	-	0	overlapStart	0	GALE
chr1	24285557	24285599	43	*	X00220	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	24286245	24286266	22	*	X00221	55629	24286301	24289949	3649	+	34	upstream	34	PNRC2
chr1	24829381	24829420	40	*	X00223	100750325	24822823	24828850	6028	-	530	upstream	530	RCAN3AS
chr1	24969273	24969352	80	*	X00224	10250	24969594	24999772	30179	+	241	upstream	241	SRRM1
chr1	24969377	24969491	115	*	X00225	10250	24969594	24999772	30179	+	102	upstream	102	SRRM1
chr1	24969542	24969563	22	*	X00226	10250	24969594	24999772	30179	+	30	upstream	30	SRRM1
chr1	24969589	24969593	5	*	X00227	10250	24969594	24999772	30179	+	0	upstream	0	SRRM1
chr1	24969679	24969738	60	*	X00228	10250	24969594	24999772	30179	+	0	inside	84	SRRM1
chr1	24969758	24969901	144	*	X00229	10250	24969594	24999772	30179	+	0	inside	163	SRRM1
chr1	25664762	25664792	31	*	X00234	23585	25664789	25688852	24064	+	0	overlapStart	0	TMEM50A
chr1	25664762	25664792	31	*	X00234	57035	25568740	25664656	95917	-	105	upstream	105	RSRP1
chr1	25664853	25664965	113	*	X00235	23585	25664789	25688852	24064	+	0	inside	63	TMEM50A
chr1	25664853	25664965	113	*	X00235	57035	25568740	25664656	95917	-	196	upstream	196	RSRP1
chr1	25756562	25756629	68	*	X00236	55219	25757388	25826698	69311	+	758	upstream	758	MACO1
chr1	25756562	25756629	68	*	X00236	6006	25688740	25756683	67944	-	0	inside	53	RHCE
chr1	25756643	25756790	148	*	X00237	55219	25757388	25826698	69311	+	597	upstream	597	MACO1
chr1	25756643	25756790	148	*	X00237	6006	25688740	25756683	67944	-	0	overlapStart	0	RHCE
chr1	25756874	25756921	48	*	X00238	55219	25757388	25826698	69311	+	466	upstream	466	MACO1
chr1	25756874	25756921	48	*	X00238	6006	25688740	25756683	67944	-	190	upstream	190	RHCE
chr1	25943340	25943430	91	*	X00239	57134	25943959	26111258	167300	+	528	upstream	528	MAN1C1
chr1	26146285	26146524	240	*	X00240	56181	26146397	26159433	13037	+	0	overlapStart	0	MTFR1L
chr1	26185752	26185981	230	*	X00241	79000	26160497	26185848	25352	-	0	overlapStart	0	AUNIP
chr1	26232784	26233030	247	*	X00245	100500808	26232853	26232945	93	-	0	includeFeature	0	MIR3917
chr1	26324504	26324595	92	*	X00246	5051	26286258	26324648	38391	-	0	inside	52	PAFAH2
chr1	26324834	26325018	185	*	X00247	5051	26286258	26324648	38391	-	185	upstream	185	PAFAH2
chr1	26496341	26496466	126	*	X00248	51042	26496388	26497364	977	+	0	overlapStart	0	ZNF593
chr1	26735293	26735323	31	*	X00249	79727	26737269	26756219	18951	+	1945	upstream	1945	LIN28A
chr1	26737311	26737350	40	*	X00250	79727	26737269	26756219	18951	+	0	inside	41	LIN28A
chr1	26758689	26758883	195	*	X00251	79947	26758773	26797795	39023	+	0	overlapStart	0	DHDDS
chr1	27021918	27021932	15	*	X00257	8289	27022522	27108601	86080	+	589	upstream	589	ARID1A
chr1	27114244	27114462	219	*	X00258	55650	27114454	27124894	10441	+	0	overlapStart	0	PIGV
chr1	27216532	27216575	44	*	X00259	54707	27205873	27216869	10997	-	0	inside	293	GPN2
chr1	27216721	27216735	15	*	X00260	54707	27205873	27216869	10997	-	0	inside	133	GPN2
chr1	27248324	27248349	26	*	X00261	10726	27248213	27273362	25150	+	0	inside	110	NUDC
chr1	27286840	27286965	126	*	X00262	126695	27276047	27286901	10855	-	0	overlapStart	0	KDF1
chr1	27481453	27481768	316	*	X00264	6548	27425300	27481621	56322	-	0	overlapStart	0	SLC9A1
chr1	27561012	27561316	305	*	X00265	23038	27561007	27635124	74118	+	0	inside	4	WDTC1
chr1	27648462	27648980	519	*	X00266	644961	27650365	27653016	2652	+	1384	upstream	1384	ACTG1P20
chr1	27648462	27648980	519	*	X00266	84065	27648636	27662891	14256	+	0	overlapStart	0	TMEM222
chr1	27930203	27930334	132	*	X00269	27245	27860756	27930361	69606	-	0	inside	26	AHDC1
chr1	27930353	27930431	79	*	X00270	27245	27860756	27930361	69606	-	0	overlapStart	0	AHDC1
chr1	27930478	27930700	223	*	X00271	27245	27860756	27930361	69606	-	116	upstream	116	AHDC1
chr1	28099708	28099901	194	*	X00272	23673	28099694	28150963	51270	+	0	inside	13	STX12
chr1	28157105	28157448	344	*	X00273	5511	28157252	28178183	20932	+	0	overlapStart	0	PPP1R8
chr1	28241142	28241264	123	*	X00274	6118	28218049	28241236	23188	-	0	overlapStart	0	RPA2
chr1	28559524	28559553	30	*	X00275	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28559580	28559687	108	*	X00276	22826	28526790	28559542	32753	-	37	upstream	37	DNAJC8
chr1	28562668	28562700	33	*	X00277	93974	28562602	28564616	2015	+	0	inside	65	ATP5IF1
chr1	28562727	28562759	33	*	X00278	93974	28562602	28564616	2015	+	0	inside	124	ATP5IF1
chr1	28585978	28586578	601	*	X00280	83667	28585963	28609002	23040	+	0	inside	14	SESN2
chr1	28655240	28655255	16	*	X00281	54797	28655513	28662478	6966	+	257	upstream	257	MED18
chr1	28655348	28655723	376	*	X00282	54797	28655513	28662478	6966	+	0	overlapStart	0	MED18
chr1	28696141	28696359	219	*	X00283	65979	28696093	28826881	130789	+	0	inside	47	PHACTR4
chr1	28832458	28832692	235	*	X00284	1104	28832455	28865708	33254	+	0	inside	2	RCC1
chr1	28832458	28832692	235	*	X00284	8420	28832455	28837404	4950	+	0	inside	2	SNHG3
chr1	28879353	28879468	116	*	X00289	54952	28879529	28905057	25529	+	60	upstream	60	TRNAU1AP
chr1	28879483	28879687	205	*	X00290	54952	28879529	28905057	25529	+	0	overlapStart	0	TRNAU1AP
chr1	28879754	28879767	14	*	X00291	54952	28879529	28905057	25529	+	0	inside	224	TRNAU1AP
chr1	28907975	28908664	690	*	X00292	677825	28906893	28907024	132	-	950	upstream	950	SNORA44
chr1	28907975	28908664	690	*	X00292	677838	28906276	28906405	130	-	1569	upstream	1569	SNORA61
chr1	28907975	28908664	690	*	X00292	692073	28907432	28907565	134	-	409	upstream	409	SNORA16A
chr1	28907975	28908664	690	*	X00292	85028	28905050	28908383	3334	-	0	overlapStart	0	SNHG12
chr1	28969434	28969767	334	*	X00293	6883	28929609	28969604	39996	-	0	overlapStart	0	TAF12
chr1	28974991	28975726	736	*	X00294	26824	28975112	28975246	135	+	0	includeFeature	0	RNU11
chr1	28995197	28995365	169	*	X00295	10691	28995240	29042115	46876	+	0	overlapStart	0	GMEB1
chr1	28995408	28995501	94	*	X00296	10691	28995240	29042115	46876	+	0	inside	167	GMEB1
chr1	29063165	29063654	490	*	X00297	51441	29063133	29096287	33155	+	0	inside	31	YTHDF2
chr1	31191539	31191552	14	*	X00304	100129196	31191619	31199593	7975	+	66	upstream	66	MATN1-AS1
chr1	31191616	31191800	185	*	X00305	100129196	31191619	31199593	7975	+	0	overlapStart	0	MATN1-AS1
chr1	31538446	31538650	205	*	X00307	9698	31404353	31538763	134411	-	0	inside	112	PUM1
chr1	32479424	32479571	148	*	X00311	10657	32479295	32526460	47166	+	0	inside	128	KHDRBS1
chr1	32538354	32538674	321	*	X00313	55116	32538503	32568467	29965	+	0	overlapStart	0	TMEM39B
chr1	32573621	32573714	94	*	X00314	23633	32573644	32642168	68525	+	0	overlapStart	0	KPNA6
chr1	32573756	32573774	19	*	X00315	23633	32573644	32642168	68525	+	0	inside	111	KPNA6
chr1	32645250	32645567	318	*	X00316	200081	32645345	32663886	18542	+	0	overlapStart	0	TXLNA
chr1	32645618	32645657	40	*	X00317	200081	32645345	32663886	18542	+	0	inside	272	TXLNA
chr1	32757398	32758067	670	*	X00318	3065	32757708	32799224	41517	+	0	overlapStart	0	HDAC1
chr1	32801589	32801602	14	*	X00321	65108	32799430	32801840	2411	-	0	inside	237	MARCKSL1
chr1	32801721	32801782	62	*	X00322	65108	32799430	32801840	2411	-	0	inside	57	MARCKSL1
chr1	32801811	32802100	290	*	X00323	65108	32799430	32801840	2411	-	0	overlapStart	0	MARCKSL1
chr1	32860204	32860280	77	*	X00327	55108	32830705	32860062	29358	-	141	upstream	141	BSDC1
chr1	32860326	32860427	102	*	X00328	55108	32830705	32860062	29358	-	263	upstream	263	BSDC1
chr1	32930403	32930442	40	*	X00329	653121	32930658	33071542	140885	+	215	upstream	215	ZBTB8A
chr1	32930403	32930442	40	*	X00329	728116	32930658	32953459	22802	+	215	upstream	215	ZBTB8B
chr1	33116623	33116956	334	*	X00330	339487	33065773	33116185	50413	-	437	upstream	437	ZBTB8OS
chr1	33116623	33116956	334	*	X00330	5928	33116749	33151812	35064	+	0	overlapStart	0	RBBP4
chr1	33282835	33283213	379	*	X00333	64766	33283043	33324480	41438	+	0	overlapStart	0	S100PBP
chr1	33430285	33430509	225	*	X00336	127544	33402050	33430286	28237	-	0	overlapStart	0	RNF19B
chr1	33430601	33430638	38	*	X00337	127544	33402050	33430286	28237	-	314	upstream	314	RNF19B
chr1	33502389	33502470	82	*	X00338	204	33473541	33502512	28972	-	0	inside	41	AK2
chr1	33502482	33502534	53	*	X00339	204	33473541	33502512	28972	-	0	overlapStart	0	AK2
chr1	33647709	33647713	5	*	X00341	55223	33611003	33647671	36669	-	37	upstream	37	TRIM62
chr1	33722386	33722711	326	*	X00342	149076	33722174	33766320	44147	+	0	inside	211	ZNF362
chr1	33896370	33896576	207	*	X00345	1912	33789224	33896615	107392	-	0	inside	38	PHC2
chr1	35325236	35325257	22	*	X00346	113444	35315963	35325417	9455	-	0	inside	159	SMIM12
chr1	35325290	35325493	204	*	X00347	113444	35315963	35325417	9455	-	0	overlapStart	0	SMIM12
chr1	35497646	35497671	26	*	X00348	9204	35449368	35497569	48202	-	76	upstream	76	ZMYM6
chr1	35658246	35658536	291	*	X00350	6421	35649201	35658743	9543	-	0	inside	206	SFPQ
chr1	35658552	35658739	188	*	X00351	6421	35649201	35658743	9543	-	0	inside	3	SFPQ
chr1	35734266	35734330	65	*	X00352	9202	35734568	35887545	152978	+	237	upstream	237	ZMYM4
chr1	35734383	35734533	151	*	X00353	9202	35734568	35887545	152978	+	34	upstream	34	ZMYM4
chr1	36023345	36023429	85	*	X00354	23154	36023393	36032380	8988	+	0	overlapStart	0	NCDN
chr1	36023345	36023429	85	*	X00354	79932	35899091	36023551	124461	-	0	inside	121	KIAA0319L
chr1	36107053	36107237	185	*	X00355	5690	36035413	36107445	72033	-	0	inside	207	PSMB2
chr1	36396475	36397001	527	*	X00359	192669	36396319	36522063	125745	+	0	inside	155	AGO3
chr1	36554305	36554707	403	*	X00360	54936	36554453	36559533	5081	+	0	overlapStart	0	ADPRS
chr1	36554720	36554749	30	*	X00361	54936	36554453	36559533	5081	+	0	inside	266	ADPRS
chr1	36863403	36863491	89	*	X00364	84967	36859031	36863493	4463	-	0	inside	1	LSM10
chr1	36863506	36863544	39	*	X00365	84967	36859031	36863493	4463	-	12	upstream	12	LSM10
chr1	36929803	36930172	370	*	X00368	64960	36921362	36930040	8679	-	0	overlapStart	0	MRPS15
chr1	37980224	37980570	347	*	X00369	64769	37955561	37980420	24860	-	0	overlapStart	0	MEAF6
chr1	38020090	38020140	51	*	X00370	79753	38000050	38019945	19896	-	144	upstream	144	SNIP1
chr1	38100585	38100631	47	*	X00371	284654	38076951	38100595	23645	-	0	overlapStart	0	RSPO1
chr1	38259872	38259943	72	*	X00374	149175	38259774	38267278	7505	+	0	inside	97	MANEAL
chr1	38455526	38455774	249	*	X00375	10946	38422652	38455761	33110	-	0	overlapStart	0	SF3A3
chr1	38455855	38455986	132	*	X00376	10946	38422652	38455761	33110	-	93	upstream	93	SF3A3
chr1	38477938	38477959	22	*	X00378	51118	38478384	38490497	12114	+	424	upstream	424	UTP11
chr1	38478001	38478014	14	*	X00379	51118	38478384	38490497	12114	+	369	upstream	369	UTP11
chr1	38478042	38478298	257	*	X00380	51118	38478384	38490497	12114	+	85	upstream	85	UTP11
chr1	38513123	38513153	31	*	X00381	5453	38509523	38512450	2928	-	672	upstream	672	POU3F1
chr1	39456796	39457059	264	*	X00384	79647	39456916	39471737	14822	+	0	overlapStart	0	AKIRIN1
chr1	40042303	40042315	13	*	X00389	8761	40026485	40042521	16037	-	0	inside	205	PABPC4
chr1	40042370	40042721	352	*	X00390	8761	40026485	40042521	16037	-	0	overlapStart	0	PABPC4
chr1	40204296	40204380	85	*	X00391	10450	40204517	40229586	25070	+	136	upstream	136	PPIE
chr1	40204540	40204554	15	*	X00392	10450	40204517	40229586	25070	+	0	inside	22	PPIE
chr1	40348974	40349274	301	*	X00393	54802	40306706	40349177	42472	-	0	overlapStart	0	TRIT1
